,class,tweet
129,1,"@foggymelon @movmctov @the_scottymomma when i did humira for my crohn's it felt like acid, hubby had to shoot me up. made my lupus flare too"
131,1,"@leigh_clay i feel for you, i had the sane experience of disturbed sleep &amp; bad dreams on venlafaxine xx"
133,1,this seroquel got me sleepy
134,1,"out of pills, feeling like a train wreck #tweaking #effexor"
136,1,"stomach discomfort, flushed, sweating, weird jaw, this stuff sucks #effexor #experiment"
140,1,i have a lozenge i cant feel my throat
141,1,@jennyelliott88 ffs!! i'm getting shooting pains down arms &amp; legs now &amp; in eve whole body ache #humira is horrible ??
144,1,"@fibrofighter08 venlafaxine gave me horrendous nightmares, &amp; coming of it was horrific.!"
146,1,i don't like taking seroquel at night. makes me crabby the whole time the following day. something about feeling sluggish and groggy. aargh.
148,1,rt @silkius: @ouch_uk didnt know lamotrigine was addictive stopped as didnt think were helping @clusterheads 3 days of hell before realized?
150,1,"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal"
156,1,"@epilepsyadvice  on lamictal, chemist giving me there own brand med lamotrigine when lamictal not available..side effect problems..raging !"
157,1,"conclusion: my psychiatrist is not very attentive and i should be on seroquel, not benzos and the maniatriggering lamitol. #ugh"
158,1,ok brain &amp; body. we need a chat about oversleeping and overeating since taking olanzapine again #tuboficecream #timetochange #junkfood #gym
160,1,whyyyyy so painful #humira ?
161,1,"@twistedwillow @samambreen apologies if gatecrashing. i was like walking dead when first started venlafaxine, much better now dose stable"
162,0,@bespokepeter @mattjholding fluoxetine..?! i just need one each day until monday.  i hate asking.  i'm worried  .
163,1,"hello, world! quetiapine zombie this morning and i have a work call in about 45 minutes. perfect combination."
164,0,@ettube @heatherm211 not sure i follow. are you encouraging antiplatelet use with dabigatran?
165,1,(cont'd) my pdoc altered the dosage of @fluoxetine to 30mg. that's the only alteration. because i complained about the extreme fatigue. :-(
166,1,"@upasbook great read as always. i was on cymbalta for 5 days. cold turkey had sweats, migraine, tremors while on &amp; 3 days after."
169,1,"@daftlimmy i've been taking venlafaxine since 2007, it's like hotel california - you can check in, but you can never leave."
170,1,day 6 cold turkey from effexor. i believe this pic adequately represents my descent into madness. or whatever. http://t.co/vz0ofabia0
171,0,@courage_cub i switched to prozac about month ago and it started working right away but i'm only now noticing its flavor
172,0,"breakfast: prozac, fluvoxamine, bp med, seroquel, antabuse.(deleted previous pic due to name on med) #fml http://t.co/040ptrpluc"
173,0,"@drjudystone dr-read you know side effects of levaquin, avelox, and cipro-true? can you help people suffering-drs. tell us in our mindno way"
174,1,lamictal dosage increases kind of wreck my head for a day or two. but they also make me super productive as long as i can do things slowly.
175,1,tysabri bruises are the best http://t.co/l1gpzefu5f
176,0,self-injected humira for first time! fingers x'd it works #spondylitis #crohns
177,1,"rivaroxaban diary day 22. last tablet taken tuesday 18th, 4 days ago. woken up in pain. bad fluid retention (uneven) on both legs."
179,1,"if your doctor prescribes you seroquel off label, they just want you to stfu. i'm a mute."
180,0,"@kevinmd even w the best care a patient can die from avandia, vioxx, get kidney failure from cipro or commit suicide on new antidepressants"
181,1,@strangledduck i am on duloxetine and i think my body would be asleep 24/7 if i let it.
182,1,#quetiapine is not doing me any favors #ifeelsick
183,1,@sarahchoueiry @crohns_twins i also have nuasea and low grade temp and on #humira should i go check it out??
185,0,after 3 1/2 hours of sleep i'm exhausted but can't fall asleep ??... this trazodone is gonna knock me out ????
186,0,*british accent* hey cymbalta are you working today? @destiny_tovar
187,1,"had 2 quit job: tendons in lots of pain,  almost ruptured, hands barely usable now. damned cipro."
189,1,rivaroxaban 2/2 if i could float weightless in space i suspect i would not ache. but i can't so need rid of rivaroxaban.
190,1,02.50 day 15 rivaroxaban diary. neck ache and lower back pain. had to kneel on floor to get out of bed.
192,1,gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o
195,1,vyvanse makes me having the sleeping schedule of a vampire.
196,1,vyvanse completely gets rid of my appetite. not quite sure how to feel about this.
197,1,my seroquel this morning got me lethargic
198,1,@samambreen venlafaxine definitely does mine. also makes me need 15 hours sleep a day. hence now unmediated &amp; rollercoastery.
199,1,"@ecrjones coming off lamotrigine has been as bad as going up on it. poorly tummy, tiredness, feeling disconnected"
202,0,"tomorrow, my second infusion of tysabri! good luck for me! #godblessme #mslife"
203,1,"arms stil hurt. cipro to tendons is like a razor to rope: cut it partway through, makes it weaker &amp; won't heal ever. damned cipro."
207,1,@baybeecarrot  trazodone but you might have troubles waking up in the morning. 1/2 tablet is enough for a night i could give you 10 for 10$?
208,0,celebrating nearly one year on quetiapine with some delicious quetiapine. mmm. quick release for instant no-madness.
209,0,remember that one time i snorted trazodone on accident and couldn't stop sneezing? good times...
210,1,"@zymymar stopped zoloft cold turkey after i became suicidal, stopped effexor because i was numb."
214,0,i want to breath in nicotine
215,0,pristiq isn't helping. i'm in a great mood. want to live forever. love life. it was easy when i had no mental health care. wanted to diethen
216,0,i didn't know everyone did vyvanse/adderall like
217,1,"02.03 rivaroxaban diary day 20. some neck pain and legs still weak, but feeling much better. very warm night."
219,1,well i didn't gain 18 kg in 24 hrs. seroquel gained it for me over 8 months. ffffffffffuuuuuuu
220,0,"i wonder what gps would do if they had patients request 1x25mg seroquel (one off, harmless) just to see what it?s like for vets on meds."
221,1,i need to start taking my viibryd again but it makes me feel so nauseous ughhh
222,0,one more day of work bitches :d and to make it better i have vyvanse so i can keep my productivity at 110 #fuckyeah #breakingthings
223,0,oh vyvanse how i missed you and your productivity......#dontjudgeme
224,0,rt?@dani_deeh: @muhleeah i heard of tysabri. should work good on ms. but serious side effects as well  :(? that's why i'm terrified!
225,1,@ana_3033 fluoxetine give me headaches and makes me yawn 24/7
227,0,@jesusislana @ewdustin -generic drugs as effective as amgen's enbrel for arthritis- @fiinging -: a blockbuster drug made b...  @anorexic0
228,1,levaquin sucks. blinding headaches. vomiting. diarrhea.   time for my next dose.  happy weekend.   #tmi #fml
231,0,#thingsihatemost people who claim they're depressed everyday.i hear cymbalta helps.you clearly have no fucking idea what it's actually like?
232,1,"@iamjoy1 yeah i know, i dont take my trazadone at night cause it makes me feel groggy in the morning and i wont wake to my alarm):"
234,1,i hate forgetting to take my cymbalta. it makes you feel sooooooo weird.
235,0,"@lonniebeats depression hurts, cymbalta can help lol"
236,1,this higher dose of #cymbalta is making me extremely tired and anxious. is this normal?
238,1,i don't know if vyvanse was a good idea #nosleep
239,1,"damn i need to sleep,  fucken vyvanse"
240,1,the cipro in you eyes burns but works its buffered for your ears seems stupid but if they take your life take it back
241,0,the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?
280,1,@trenchtimelow ooh. i was on seroquel. and withdrawal is a bitch. i'm not even fully off it yet either.
281,1,i'd gladly trade the #mtx  headache for #humira but after 5 months i still don't have the prescription. i function through vitamins &amp; motrin
283,1,going through a real bad nicotine withdraw...
284,1,1/2 vitamin d malsorption and damaged photosynthesis of sun shine in to vitamin d from levaquin toxicity leading to calcium problems.
286,1,"@almostwell my blood pressure is fine, but my heart started lurching two weeks ago. savella didn't work for me, yeah. cymbalta rules!"
287,0,rt @gbloftus: all the medications advertised during news shows sound like they could be the stage names of alien strippers #xarelto
288,1,ready for bed but vyvanse is saying no #forciblynocturnal
290,0,rt @lisadevlin39: @radioheadlyrics 'i won't be around...when you really need me.' lozenge of love - one of my favorite #radiohead songs.
292,0,rt @kwelch_142: victoza is insulin used by diabetics.... you eat like paula you get diabetes like paula...
293,0,henpeck the nicotine addiction respecting investing beyond thereby defame pressman crow cartridges
294,1,i'm sorry you have ostrich halitosis @daniellejmoody but that is a side effect of once monthly boniva.
295,0,?@rosenthal_bob: #ibd #crohns humira night.? good luck!
296,1,"@catthoma right, some ssris are used for cataplexy, as is effexor. can be tricky to wean off without rebound.  #nchat"
297,0,whats the highest dose of olanzapine anyone has been on? for me the highest i have taken is 20mg olanzapine which is the bnf limit
298,0,rt @nejm: report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity. http://t.co/omohxer?
301,0,"rt @epicureandeal: ""the diagnosis of depression didn?t become popular in japan until glaxo-smithklein got approval to market paxil in the c?"
302,1,@fergaroo thanks :) i so wanted venlafaxine to work cos at least it didn?t increase my appetite like citalopram did.
303,0,@gidi_traffic. clearance sales. 200mg sparfloxacin x 6tabs for n100 each and 500mg levofloxacin x10tabs for n150. call 01-2901514
304,0,"@lanes0220 guess i don't know her table of brands ... ham, cream cheese, victoza, caesar's, food network. which ones are sticking?"
305,0,"#consumeralert: have you or a loved one taken #granuflo, #pradaxa or #actos and  suffered from adverse effects? if so, seek an opinion asap."
306,1,"@pete__bull elderly, diabetic on olanzapine= raging bm's, mood swings and weight gain...cons may outweigh the pros.."
309,1,the one time i'm glad for seroquel memory loss
310,1,@nicolapow i?d consider restarting the venlafaxine today but it was messing with my sleep big time :( i?ll go back to dr x
311,0,rt @uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.
314,0,@mrs_lgardner just got him from seeing my cf dr. no collapse or pneumonia. start of a flare up probably so 2 weeks of oral cipro......
315,0,"1 power point, 2 short stories, half of a small book, and an epic poem = #longnight and #vyvanse"
316,1,"@crohns_twins that sucks. humira made me so sick. remicade helped a but, but then seizures put that out. now waiting, just prednisone now."
320,1,"@samambreen doesn't work. citilopram then fluoxetine before, bothe did nothing for my mood but made me vomit so much i lost 4 stone in 6mo."
322,1,"i can feel my heart starting to palpitate from vyvanse, red bull, and nicotine. that's probably par for the course for finals week, right?"
323,1,@_rubyrouge_ i'm reducing duloxitine (been on 6 yr) and slowly increasing m but slept 13-14 hrs solid and still feel wasted
325,0,out of the house by 8 am on a non-work day.  #antidepressants #testify #pristiq
326,0,dis lady has the worst cough i wish i had a lozenge
327,0,"hi, my name's makenna and my mom wanted to give me melatonin instead of my trazodone and i haven't gone to sleep yet.. fml."
328,0,"@emptyoffeelings what, antidepressants? i'm on fluoxetine (prozac) right now, why?xx"
329,1,@liver_bird_87 @miztinkerbella when i was on cymbalta and visanne i could not orgasm at all!!!
330,1,"effexor dreams, now with lucidity. i grant the power of flight?"
331,0,sometimes i really think i could benefit from that neutral plateau fluoxetine gave me.
332,1,"thank god my steady stream of vyvanse is wearing off, i can sleep now."
333,1,anyone on cymbalta it is making me like a zombie and still hating the world.
335,1,"@amberinnerglow @eclipsedblue me too, remicade for a year, humira, and had an allergic reaction to cimzia, almost killed me in november."
337,1,"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these."
340,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? @katelynolsen_xx
341,1,@wielding my friends are annoying me and i'm having withdrawls from the paxil because american healthcare is a joke :(
342,1,"popped a zinc lozenge, i'm sweatin"
343,0,?@_stareandgrin17: @pinoymommy @wawam oh my.g you silly ones!? - its the prozac &amp; zoloft thats making us tweet these.
344,1,"woke up from a nap with a really bad headache, my 2nd headache in three days. #trazodone #withdrawls"
347,1,this quetiapine isn't working damnit!!!! does make me hungry at night though... *sigh*
348,1,"@oscli you want bad withdrawl, effexor had that..evil stuff for me...never again. i strongly believe it caused some memory damage for me. :("
350,1,coming off of cymbalta has been the most exhausting experience. and it isn't even over :(
351,1,03.00 day 19 rivaroxaban diary. just taken 2 paracetamol. probabably will take 70 minutes to work. a long painful night ahead.
352,1,@crescentcolours that'll be the quetiapine making you drowsy. it's a common side effect xx
353,1,@psychiatrysho partly true but olanzapine is the worst ever for inducing carb cravings for some unfortunate ppl serequel and clozaril a 2nd
355,1,i suggest never stop taking effexor abruptly because you will feel like you're on your death bed
356,1,@criminalbanjo dude i feel physically and mentally drained.. thats the paxil i wanted hard at work
358,1,"@mariamelee oof, sympathies. i had a raging cipro headache last week."
359,1,found them. starting back up on effexor. vomits shall ensue!
360,0,someone back me up to @mrdispenser about what a trauma when you have to dispense 20 lots of rifampicin and cipro for meningitis prophylaxis
361,1,@ybnormal622 i am on only 25mg lamictal but it makes me anxious and insomniac so i skip sometimes and get depressed.
363,1,almost vomited on a zinc lozenge #yuk
364,1,why do i always get the seroquel munchies!?
365,1,vyvanse is a hell of a drug. you get expensive insomnia! and you get expensive insomnia!
367,1,"i'm tired of being tired, deffinatly #nap time for this girl. stupid #medications #paxil #trazodone #seroquel"
369,1,day 3 without #venlafaxine. worst drug ever to withdraw from? any support much appreciated!
370,1,"when i was taking a full dose of #paxil, i didn't even realize that sleeping 12 hours a night, then falling asleep every day, wasn't normal."
372,0,"did one shot of enbrel, but chose the infusion rather than self injection.  don't know what he has in mind. hoping for success. #rheum"
373,0,trazodone y u not working
374,0,*snorting a line of olanzapine face*
375,1,"@moonsyrin @britni_rose talk to your doctor to see if you need to up your dose of paroxetine. it is possible to ""plateau"" on it..i did."
376,1,"adderall puts me in a good mood, vyvanse makes me an asshole."
377,1,cymbalta makes me thirsty to the point where my mouth is painfully dry. it feels like the sahara desert in my mouth.
380,1,"u wailed all night; now y'r disembodied sobbing all damn'd day, ghost? ? effexor-xr?discontinuation syndrome ain't exactly heaven, angel"
383,1,"@privacy625 @sandycolon25 what i take is serious. i never was informed ahead of time. i could get ""metabolic"" syndrome from seroquel."
384,0,"gotta thank the lord for the weed and the nicotine, i can't sleep close my eyes and see wicked things"
385,1,"wanna go back to sleep, but this vyvanse ain't letting me?"
386,1,@lisabrownphotos consider yourself lucky if all it does is make you dizzy and sick!  cipro crippled me and countless others.
389,1,today's pristiq withdrawal symptom: my eyeballs make a sound like star trek doors when i move them. #wtf
391,0,rt @timbuttsack: venlafaxine more like lessvoicesinyourheadazine am i right guys?
392,1,lucidity rn is probably some med's fault...with my luck probably klonopin and not seroquel
393,1,"no med orders til effexor is fully exited. still having brain shivers, but mostly when i don't eat. #effexor #withdrawal #depression"
395,1,@princeherb i had paroxetine for a few weeks once... apparently i started behaving oddly so they took me off it and put me on  sertraline
396,0,@anorexic0 @ewdustin -generic drugs as effective as amgen's enbrel for arthritis- @fiinging -: a blockbuster drug made b...  @jesusislana
436,1,time for my commute. wondering if i'm going to cope with this everyday. it's like wading through treacle getting up so early on olanzapine
437,1,note to self - nicotine lozenge &amp; alcohol = nausea.
438,0,let me have my morning coffee and prozac before you start your shit.
439,0,rt @juliamoskin: #pauladeen may have been paid $6 million for her endorsement of victoza. drug maker suspends deal with deen --http://t.co/?
441,1,"despite a difficult meeting with hr today i feel good, i feel chilled, i feel happy but i still feel fat! #olanzapine"
442,0,rt @kylethompson168: working out on vyvanse is so much better than without #crackedout
443,1,"@mereprototype probably the combination with my fluoxetine. but i can't move that to night time, it makes me have bad dreams."
444,1,@redbuttongirl i know. i just realised with everything else - i haven't taken the sodding quetiapine yet!! wondered why i wasn't drowsy doh!
445,0,writing notes to myself to remind myself trazodone causes priapism. pharmacology is cracking me up. http://t.co/ecndhfmf9p
446,1,@katie_woodman fingers crossed i have been taken off tysabri because my body is resisting it ha typical hope you are doing ok :)
447,0,rt @cmichaelgibson: #apixaban / #eliquis reduced major bleeding from 1.8% to 0.6% vs #warfarin in acute venous thromboembolism patients htt?
448,0,@synapsid oh god yeah effexor is a med where skipping a single dose wrecks you because it doesn't stay in your system
449,0,@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac. @craigyalford94 this too!
450,1,"@neph0079@positiveaboutms i take baclofen ""can't sleep! want to sleep!"" help!"
451,1,i used to be on paxil but that made me more depressed and prozac made me angry
455,0,trial of biologic.. humira in oa hand.. negative.  not surprising. ..... you have to treat the problem early. ... before damage.
456,0,rt @app_publishing: fda investigating deaths following zyprexa injections: the food and drug administration (fda) issued an alert ... http:?
458,1,"i reckon i have drug-induced oedema causing musculo-skeletal pain. likely drug combination: rivaroxaban, losartan, and simvastatin."
460,1,i have put on weight (thanks ms and #tysabri). always look on the bright side: time for a @thinkgeek t-shirt spree! #winning
461,0,"sweet raw flesh, &amp; nicotine summer time."
462,1,allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/kbj5fvqpff
463,1,@sdunn242 yup quetiapine. the normal dose at night whacks me out. i'd have been asleep til friday on double
465,1,not hungry but eating anyway. thank you quetiapine you utter cunt.
466,1,@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww
469,1,just wondering where the side effect of hating the world is stated on vyvanse advertisements?
470,0,that moment when your vyvanse kicks in and you write down all these lists but only get as far as writing them down. #shortattentionspand
471,1,i'm gonna make a list of drugs that give you mad crazy dreams. trazadone and metoprolol are at the top.
472,1,"gotta find an alternative to vyvanse, asap. i'd rather be sleepy &amp; happy, than alert &amp; depressed!"
473,1,"seroquel census: ""did we kiss?"" (notes i scribble next to my bed at 5am, loopy on anti-psychotics)"
474,1,i've decided i'm really not happy with the pain lamotrigine is causing or the poor sleep. i am thinking of asking for a trial of prozac and
476,0,@pillowfort fluoxetine was my god for a short time. disagree that girls help with depression though..
477,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? @jerrytheslutcat
478,0,08.59 day 17 rivaroxaban diary. a doctor will 'phone me back about lunchtime. i'm minded to take myself off rvrxbn as side effects worsen.
479,0,"@destinlegarie it's not a cure, but cepacol is a pretty potent lozenge. post nasal drip is usually the cause, so mucinex/nasal spray help."
480,0,@dewdiligence is methodology similar to the einstein trials for rivaroxaban? even if results are good they are arriving way too late.
481,1,@lulubot75 the shaking is a common side effect of effexor
482,0,just realized i'm staying the night and i have no seroquel. fml.
483,0,@jackorias prozac   web definitions fluoxetine: a selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant
484,0,@vixoen sequel? you mean seroquel? (i think sequel is what you take before writing your second book.)
485,1,not sure the paxil is working any more
486,1,"@wickleperson i do have a crisis number, but i'm just going to knock myself out today w/ trazodone and start antipsychotics today too."
487,0,@neografe @etpc1 i had those really bad when i quit taking effexor
488,0,@radxradio this made me laugh. trazodone here. sweet dreams! ;)
489,0,"@lulubot75 drinking on effexor can lead to fatal overdose,it is considered more dangerous than drinking on benzos"
490,1,"worked a double shift today while dealing with effexor withdrawals, i'm a tough bitch; fight me. #badass #sick #withdraws #sicksicksick"
494,0,"@_d_i_a_s_ you're starting to sound like a cymbalta commercial, lighten up!"
495,1,@synapsid with effexor if i miss one day i am dizzy and wrecked
497,0,there is no coincidence that phil mickelson's enbrel commercial just came on during my show right as he takes the lead. go phil.
498,1,i'm def suing cymbalta. i can't wait until its out of my system. get out!!!!!!! nowwww!!!!! you turn peaceful people into the hulk!
499,1,@drdrew i recently stopped taking effexor 225 what can i do to ease my withdrawls?i feel miserable right now and very angry.please any ideas
502,0,rt @davidfbagley: only you can prevent child molestaion. rt @robdelaney: @lapd a man with a ponytail just offered my son a lozenge
503,1,i wonder if olanzapine causes restless legs &lt;_&lt;
504,0,"@saschel for a moment i read ""knee deep in prozac"", but nothing to worry about i reckon"
505,1,"@back_datashup same lol didn't eat a thing, damn vyvanse"
506,0,"its astonishing the amount of people that dont understand english, btw mother won't give me food unless i take my olanzapine blackmail"
507,1,baclofen gives me a head high but it makes me feel like throwing up after. ugh. #thestruggle
509,1,@nicoleccoelho i take fluoxetine and it doesn't do shit it just makes me dizzy and tired
511,1,@mc_elhill @mhchat @womblegeorge #mhchat lamotrigine also causes me to have fewer hours sleep a night
512,0,feelin productive ....probably because i took a vyvanse lol
513,1,"although taking it now would run counter to my current ""food  seroquel = rls"" philosophy"
514,1,@harrydfish @deltrimental joe is on pristiq and he gets weird brain zap / twitch things too.
516,1,i better go to bed.. effexor withdrawal makes me feel kinda terrible ugh.
518,1,"@secretsufferer olanzapine. i was taking 7.5mg and that was a nightmare, now taking 5mg but the weight still keeps coming :("
519,1,"you know starting with geodon, the meds messed up my attitude. how odd. it's not just about spirituality. i became a bit mean. that got"
521,1,"cymbalta, my mood has worsened"
522,0,@skylertunes oh man levofloxacin? i've had that same exact pill it hated me though. hope it does you justice!
523,1,adderall makes me vomit and vyvanse gives me migraines.. the struggle
527,1,also the lamotrigine dose feels a bit high too now the o is leaving my system. will have to adjust that as well or i won't sleep *sigh*
528,1,day 6 cold turkey from effexor. i bellevue this pic adequately represents my descent into madness. or whatever. http://t.co/v7miglato6
529,0,"@dewdiligence @chasingthealpha @binarypharmer eliquis good drug, but if ttr is 70-75% no advantage over warfarin #cheapcompitition"
530,0,zyprexa lilly 4115  ohh mis(!)
531,1,"the placebo week of birth control increases blood levels of lamictal, which in turn makes me a very cheerful insomniac."
532,0,"@marg1nal @lobeline - in my case, thank god for fluoxetine. i'd be dead or in prison without it."
533,1,@hospitalpatient  have been on humira 2years now n get on off chest infections that sometimes need 2diff pills 2sort out should i b worried?
