,type,tweet
282,1,@tootingrebecca it helped me enormously with seroquel withdrawal but it makes benzo withdrawal much worse.
1564,0,"rt @pharmaguy: re: brisdelle (ie, low dose paxil - an antidepressant) approved for hot flashes. women need more love, less drugs: http://t.?"
687,1,vyvanse is really taking its toll now #headache #anger
806,1,only change so far since switching from lexapro to cymbalta: now i might notice if i got hit in the crotch w/ a lance in a jousting accident
1969,1,had a dream my eyes got burned out of my head. thank you trazodone
2052,0,venlafaxine is heavy duty.
1846,1,@deanmikel i'm not lazy!! my seroquel knocked me out!!
217,1,been on humira now short period 4 to 6 injections no noticeable change in pain but racing heart and palpitations. mtx at 1ml injection.
2089,1,i wish i could be tired. shouldn't have taken the vyvanse. now i'm never sleeping.
535,1,i am way too hyper to go home and do nothing tonight :( damn prozac &gt;.&lt;
1223,1,"@ecrjones coming off lamotrigine has been as bad as going up on it. poorly tummy, tiredness, feeling disconnected"
751,1,"@ciproispoison ironically, the pulmonologist i work with told me about his own devastating bout with 'tendonitis' after cipro"
368,1,well played tysabri...kicking butt #nosleep.
536,1,"rules of prozac: 1: you can never sleep, ever again. never ever 2: no you may not switch your brain off. ever. 3: exhaustion is your friend."
1670,0,"@subliminalphil: @justlafrench that's why i hope you never take prozac, because i want your peepee to be hard and strong for all eternity."
185,0,took my lamotrigine (#14) at 1704 utc. long drive ahead of me today. hope my back pain goes away.
1924,1,#schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain. diabetes too! switched to #abilify. suits me well.
1408,0,"ciprofloxacin has its tit for tat modish secondary sectors beyond comparable herbaceous, rural supplements, thyr:"
1138,0,ok. call humira nurse line (that's the only recent change) or my own doc?
837,0,@asherbo dude.  give her some cymbalta or something. pipe down there hot shot.
643,1,"@kitschmagnet i was on tysabri for 50 months. i'm in the process of going to tecfedera. it is similar, i needed to get off because of veins"
1067,1,"@candidlykelly some day i should try fluoxetine again. it made me all suicidal the first time, but i was 18"
1484,0,"@snailhime @wrangelisland paroxetine 40mg/day, since i started ive been able to go outside without having a panic attack which is nice."
1322,0,mimi need a throat lozenge and sum hot tea
1257,1,rt @vinniemedugno: @sonniedetore i cannot be in the sun! #levaquin
1877,1,"@adelerosenbloom getting off seroquel (sero-kill) can cause convulsions, fever, toxic reactions, psychotic reactions. and other shit"
562,0,@girl_interrupt_ yes totally. psych prescribed me quetiapine to help #bpdchat
164,1,cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass
1816,1,"last night, i had a dream that @bromethazine and i were going to have sex, but i was too tired. seroquel is the devil."
412,1,@rickywarwick so true ricky! i went into anaphylactic shock &amp; almost died from taking cipro! dangerous drug - be careful!! take care.
1928,1,ooh me too! rt @xyle50ul: #schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain.
210,0,"rt @carla2000: @doctorchristian humira injection psoriasis,gone2 board&amp;funding!chief pharmacist reject cause derm doc not tried accetrine!c?"
1442,1,"@karims3d olanzapine actually makes you put on weight, even when you aren't eating that much"
371,1,"u wailed all night; now y'r disembodied sobbing all damn'd day, ghost? ? effexor-xr?discontinuation syndrome ain't exactly heaven, angel"
1218,1,reducing the lamotrigine is grim. exhausted and grumpy. got another 2 weeks of this yet. wondering if i'm doing the right thing?
1101,0,new fycompa? (perampanel) data presented at international epilepsy congress (iec) ...
383,1,anyone on cymbalta it is making me like a zombie and still hating the world.
276,1,being sick every morning is getting really old. not sure if anxiety or my body getting used to paxil.  anyone know?
919,1,@drdrew i recently stopped taking effexor 225 what can i do to ease my withdrawls?i feel miserable right now and very angry.please any ideas
2237,0,rt @app_publishing: fda investigating deaths following zyprexa injections: the food and drug administration (fda) issued an alert ... http:?
2180,1,"vyvanse, commonly known as ocd in a pill."
1039,0,@jackorias prozac   web definitions fluoxetine: a selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant
790,0,the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?
2243,0,@incubator04 i'm hoping that i get on the zyprexa. the gi was pretty sure it would help the nausea and i know it'll help the crazies.
1775,1,"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol"
2182,0,rt @kylethompson168: working out on vyvanse is so much better than without #crackedout
1317,1,it appears that my twitter addiction may have just been a side effect of my nicotine lozenge addiction.
43,1,@benderbach cause humira gives me a lot of rashes and like most of these drugs.. skin sensitivity happens
364,1,what! nightmare made me jump awake! not nice at all. thought #quetiapine was supposed to keep me asleep through the night #psychosis #fail
973,1,"ssri discontinuation syndrome is a bitch. effexor, i hate you. wellbutrin, thanks for being nice to me. now do your job kthx. #depression"
268,1,@dsymons @trainingwithra i agree that the after sting is much worse from #humira than #enbrel #rheum
1451,1,gonna have to speak with my psychiatrist about stopping my olanzapine its interfering with my visions and it gives you memory loss and more.
1524,0,"popular antidepressants zoloft, prozac and paxil can lower libido and prevent orgasms"
1415,1,when the depression is coming out caused by this damn levofloxacin :))
1819,1,@exitingcorpse @luckystubbs seroquel was my boner kryptonite when i was a disfunctional teen
1863,1,"wow, the rls is out of control tonight #notfun does anyone out there taking seroquel have issues with restless leg syndrome?"
864,0,*british accent* hey cymbalta are you working today?
546,0,celebrating nearly one year on quetiapine with some delicious quetiapine. mmm. quick release for instant no-madness.
1547,1,hey guys don't forget to refill your paxil for like six days because the withdrawal is like heroin. literally.
697,1,@the_ignorable hungover shakes + vyvanse shakes + coffee = recipe for success
306,1,"abilify for 3 weeks has made me lose 1/6 of the weight i put on w/seroquel, and i've been eating like shit. i love you abilify!"
323,1,"@crohns_twins that sucks. humira made me so sick. remicade helped a but, but then seizures put that out. now waiting, just prednisone now."
1848,0,i been knocked the fuck out yo. like i took a seroquel or sumn
1831,0,fuck it. snorting a seroquel so i can sleep until tomorrow
660,1,venlafaxine withdrawal is horrific
2061,0,@ellwynnnnn (i stayed on venlafaxine for quite a long time because i thought it was working because when i missed a dose i felt awful.)
1817,1,can't even take a seroquel cause i gotta wake up smfh
1511,0,"@govchristie #guns or #fda approved #drugs? elizabeth bush, age 13, (#paxil) was responsible for a school shooting in pennsylvania."
525,0,"i think i might have to try something else than paxil. though, i do enjoy it with abilify so that my mood is stable, just does nothing for"
1059,0,@deliriunfishies i've tried both citalopram and fluoxetine and both have had bad side effects on me. try something else.
2121,1,@fleer09: playing league while on vyvanse is too damn stressful.  back to public i go!
3,0,i'm soo depressed cymbalta couldn't help me .
1813,1,this #seroquel gotta nigga feelin like a  slow turtle. #ihatemeds
577,1,"05.00 day 17 rivaroxaban diary. woken up by pain in neck, hips and legs."
1885,1,@kaliruoff ohhh...lmao that's just great. maybe it was probably seroquel. that stuff knocks you outttttttt haha
946,1,"stomach discomfort, flushed, sweating, weird jaw, this stuff sucks #effexor #experiment"
2113,0,"is it objective, that is, does it refer to apples, health and a half hours. i'm not even on any vyvanse! #swag"
1853,1,so damn sleepy. this seroquel is fucking me up so bad.
559,1,@iamcarrieeeeee not eating that badly but portions prob too big. quetiapine a factor. think i'd be ok with gentle exercise but not vigorous
1781,1,08.26 day 14 rivaroxaban diary. just been to cut some wild roses down so workmen can easily get to part of my garage. intense back pain.
389,1,"20s 8th day with #effexor still experiencing some side effects (drowsiness,sleepiness,gi effects). moderate improvement in mood #depression"
1105,0,"@terrijeanmaples the newer atypical drugs like geodon, risperdal, abilify. they help with neurogenesis, the brain's ability to heal."
726,0,rt @cmichaelgibson: #apixaban / #eliquis reduced major bleeding from 1.8% to 0.6% vs #warfarin in acute venous thromboembolism patients htt?
1672,1,prozac makes me want to destroy myself. js. #core
1178,1,@hospitalpatient  have been on humira 2years now n get on off chest infections that sometimes need 2diff pills 2sort out should i b worried?
564,1,whoah so dizzing.  damn   tamazapam - shld probably wap back to quetiapine if this keeps up! but it makes me feel so ick!
2010,1,wondered why my limbs ached and i was shivering on the hottest day of the year so far. forgot my venlafaxine. that'll be withdrawal then!
272,1,"@warwraith i'm not even sure what to request. :/ sertraline makes me sick now, venlafaxine made me sick, reboxetine and citalopram useless"
1064,1,@icedweller i loved fluoxetine (prozac) but it made me lose my temper of the slightest thing but that was the only downside.
1571,1,going off paxil cr cold turkey is something you should never ever do if you value your brain cells.
400,0,"@stu_89 nice to know, still not out of 2nd relapse, got to give tysabri a go i think, just scared about the brain virus."
1946,0,trazodone is not working since he started me at such a low dose. i'm wide awake for the majority of the night. cutting privacy.
522,1,i've been on paxil for 10 years for depression/anxiety and at first it used to help but i guess i've built up tolerance and i come too fast.
1341,1,nicotine headache! #notcool
859,1,@blackloislane i was on cymbalta for over a year. in the process of quitting it because it interacts badly with my testosterone blockers.
1626,1,@courage_cub i'm feeling weirdly antsy lately and i'm positive it's due to the prozac and i'm a bit worried where that could lead me
591,1,"have been in a lot of pain all day though and i feel and look like a zombie. seroquel is quite an annoying medication, ugh. -.-"
1302,0,"no seriously, someone really needs to get stellan skarsgard a throat lozenge. #kingarthur"
1401,0,russia is angry with potus for protecting monsanto who makes nicotine based insecticides. when seeds are eaten by birds the birds  die
589,1,popped a seroquel now i'm sleepy
2012,1,wondered why my limbs ached and i was shivering on the hottest day of the year so far. forgot my venlafaxine. that'll be withdrawal then!
1409,0,"chemoprophylaxis for neisseria dis.: sulphonamide rifampicin ciprofloxacin, treatment: penicillin cephalosporin kalau allergy kat penicilin"
814,0,aw what's up with your name ? you feel lonely or alone . ? cymbalta could cute depression it's okay. @criss_staystrue @leslieee04
7,0,"third night of diarrhea and first dose of norfloxacin, gosh.. gonna die of dehydration"
1764,1,"since quetiapine's messed with my prolactin levels, making my boobs humungous &amp; my bras so expensive, i want a lingerie component to dla."
1697,1,i ate 2 cakes  2 pastries at work today. blaming the quetiapine rather than my liking for cakes. blaming work too for providing free cake.
1903,1,@bipolar_mania i just got diagnosed a few weeks ago with bpd...they put me on seroquel and kept me on zoloft with it. it makes me eat a lot.
1216,1,@mc_elhill @mhchat @womblegeorge #mhchat lamotrigine also causes me to have fewer hours sleep a night
1253,1,ain't nothing worse than having vasovagal pre-syncope from levaquin toxicity. hard to digest food just pushes all the nerves. #blah
879,0,"@gkygirlengineer ""cymbalta: you're gonna like the way it..err...you look."""
549,1,"just about dead, think it's bedtime.. fuck you quetiapine"
1835,1,@breatheinhope blargh hate this. particularly with seroquel at night. i not i don't sleep. if have and have more cant get up :/
1300,0,somebody please give kendrick lamar a throat lozenge #bonnaroo
900,0,rt @scripalexs: rt @boehringer: #dabigatran submitted to ema for acute #treatment &amp; prevention of recurrent #dvt #pulmonaryembolism http://?
852,0,"still recovering from last night loss. depression hurts, cymbalta can help. go pacers!! #pacenation #whataseason"
398,1,@thebookgirl985 trazodone makes me hungry. prop my eyelids open with toothpicks and drive me to a buffet?
653,1,"@leigh_clay i feel for you, i had the sane experience of disturbed sleep &amp; bad dreams on venlafaxine xx"
1600,0,@cristinafrey distressed is an understatement. they are that distressed they need a shrink and prozac asap
1199,1,"@thekillmars300 called lamictal (for anxiety) that turns out i'm allergic to also. kicker is, they both can cause sjs. i never had a chance."
2088,1,i wish i could be tired. shouldn't have taken the vyvanse. now i'm never sleeping.
1533,1,@jephjacques i hated being on paxil for that reason. way to make you *more* depressed. x.x
694,1,@mannypresh602 word. i've been fuckin tweakin out on vyvanse and writing hella verses
2244,1,"i'm so fine today. increasing zyprexa,my condisition is became so good. it has a side effect that increase my weight. i must care about it."
122,1,i'm having to pee way too much this drive.. drinking too much water. fuck you 70mg vyvanse and your ability to dehydrate the fuck out of me.
878,0,"depression hurts, cymbalta can help"
1753,1,i have been on lorazepam / diazepam / quetiapine for the past few nights and i've noticed i am slightly drooling a bit. lovely.
1254,1,"not that anyone noticed, but my #ambienwithdrawl only lasted a few days. why? because i got another scrip. i need it while i'm on levaquin."
898,0,rt @nejm: report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity. http://t.co/omohxer?
2007,1,why must i be so tired. this spell better just be new med beginnings &amp; go away! #tysabri
1734,1,@redbuttongirl combining them with the quetiapine makes me hallucinate :/
250,1,"04.46 day 23 rivaroxaban diary. much better than yesterday. still neck, back, hip, and leg aches but not so intense."
1592,1,holy shit balls pristiq withdrawals are very strong!
2232,0,call jose zometa 202-617-4985 for special orders
1136,0,trial of biologic.. humira in oa hand.. negative.  not surprising. ..... you have to treat the problem early. ... before damage.
338,1,bedtime. hopefully  the headache and nausea from the levaquin will be gone leaving me with only the more common side effects of antibiotics.
1628,0,if they could just figure out how to stick prozac in the pop tarts we could eliminate pop tart depression for good.   #bt140
1915,1,"no fail, seroquel does make you hungry."
1466,0,@devonhunterxxx *gives @kjq515 olanzapine* let queen ola's powers of healing into your heart!
808,0,one time i liked a guy and told him i was sad a lot and he told me to take cymbalta and thats why i hate people
1784,1,rivaroxaban diary 2/2 ..but not hungry. has to be taken with food. only had 1 hot drink and 1 slice of bread so far today
1037,0,@mylifewithocd fluoxetine x
495,1,my nigga dante addicted to that nicotine
53,1,"but still dr. maria jasinskas was right &amp; would have been if not for pharmacy; she said, ""you know sometimes vyvanse can make you depressed"""
135,1,@magnoliapearl missing a day of meds is never fun. i get migraines if i don't get my effexor. do you just get super tired?
295,1,"did you know insanely intense dreams are a known side effect of venlafaxine? it's not an antidepressant, it's my dream fuel!"
481,1,rt @silkius: @ouch_uk didnt know lamotrigine was addictive stopped as didnt think were helping @clusterheads 3 days of hell before realized?
721,0,@doctorcaldwell alendronate works in elderly. intended benefits are relevant. issues are compliance/tolerability and life expectancy&gt; 1 yr
1183,0,"rt @ibdlife: person: you have crohn's? me: yep person: oh i saw your medicine in a commercial, i think it was humira  #no #no #no #no #no #?"
1108,1,"3 rounds of puking, a nasty headache, and my throat is raw. body wants nothing to do with this increase in the geodon."
2084,0,didn't take my vyvanse today if anyone is brave enough to cross my path today... #wildnout
248,0,she announced she had type 2 diabetes on the day she endorsed the diabetes drug victoza and a lucrative collaboration with the  manufacturer
54,1,@brokenmind_ quetiapine was horrific for me in relation to wait gain. such a horror story. but the weight will come off one day at a time.
1430,1,ok brain &amp; body. we need a chat about oversleeping and overeating since taking olanzapine again #tuboficecream #timetochange #junkfood #gym
316,1,"2/2 blood tests scheduled. bp normal now have own coaguckek machine. still aches and pains, legs better. taking codeine rivaroxaban losartan"
1601,1,@cloudtoad @mrsyiswhy @bigthink each brain is different.  the ssri i'm on has worked really well.  prozac made me a zombie. #brains
587,1,@luckystubbs i take way too much zoloft and seroquel to get the horn my life is a lie
1913,0,rt @bromethazine: my life can be divided into pre-seroquel and post-seroquel epochs
588,1,@trenchtimelow ooh. i was on seroquel. and withdrawal is a bitch. i'm not even fully off it yet either.
609,1,@kickdblcj they increased my celexa. took me off seroquel because it was screwing with my memory. i go back in two weeks to see how its goin
816,0,@branden_koerner you know... theres a type medician out there that helps with your depression... cymbalta can help..
418,1,my sim card isn't working aaggh i feel like im having cymbalta withdrawal again aaagh aaaggh
2082,1,the only bad thing about vyvanse is the awful headache you get when it's starting to wear off ?
1279,0,someone get lockyer a bloody throat lozenge. #origin
1770,1,18.08 day 11 rivaroxaban diary intense back pain  at a funeral from 10.30am.  paracetamol eventually took it off. very weak and aching knees
2035,1,@jamesaengland i might go back on the venlafaxine &amp; give it another chance but it was wrecking my sleep :( x
124,1,this rant could be #paxil withdrawl...or delayed divorce rage.
1288,0,these nicotine lozenges taste like cardboard and i'm running late to work. welcome to my monday.
730,1,"@carolewhelan i find the baclofen worse, it has left me in a tired/sleepy fog all day  - the codeine i can (mostly) deal with."
28,1,"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma"
2164,0,"gonna start taking vyvanse again, so i can stop thinking about food."
1320,1,rt @jumpingjesush: it appears that my twitter addiction may have just been a side effect of my nicotine lozenge addiction.
1406,0,"ciprofloxacin has its commerce from independent sectors so close match herbal, mental giant supplements, thyroid:"
410,1,the pathway of cipro is definitely murdering my mind right now ? #donedonedone
1925,1,#schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain. diabetes too! switched to #abilify. suits me well.
820,0,"possible cymbalta side effects include: asshole falls out, and/or morph into a preying mantis. ask your dr. if cymbalta is right for you."
1130,0,rt @carla2000: @doctorchristian i think some people will try anything sometimes! i have with my severe psoriasis!finally awaiting humira in?
753,0,if you talk bad about lebron i hope a thug shoots off your great toe and all the vancomycin and cipro in the world cant cure the infection.
182,1,"@abianne the effexor may have been pushing me toward hypomania, so we are trying just an ssri, then see if a mood stabilizer is needed."
1499,1,@levimichaelsxxx @outnynews you are so horny and i am not! wtf!!! paxil why paxil why!!!!
236,1,"@realhausfrau @tantalizinyou my step-dad was on effexer,taking supplements for energy and drinking like a fish when he shot my daughter&amp;me"
720,0,"when i can't sleep i start list the drugs i know if alphabetical order - abciximab, acamprosate, alendronate... zzzzzz(olpidem, opiclone)..."
1751,1,@stillicides well no. but it's just that i dropped my quetiapine last night. i slept horribly! but i feel v unfoggy...
440,1,@joanne__howe enbrel is a miracle but it made my eyes worse :( so couldn't have it anymore :(
385,1,"there's a point where you know when trazodone has kicked in. it's when you're a drunk, staggering, blurry-eyed, amnesic. yeah. i'm there now"
1058,0,"seriously want to hear of others experiences with #ssri meds, and discuss effects they've had on them and shit. #fluoxetine #citalopram"
533,1,my sleep schedule is all fucked up and pristiq is making me gain weight and i don't like this
1824,1,why do i always get the seroquel munchies!?
1086,1,"@major___tom mm, i'm wary of trying new meds after a really bad reaction to fluoxetine, but i've heard a lot of good things about citalopram"
1790,1,rivaroxaban 2/2 if i could float weightless in space i suspect i would not ache. but i can't so need rid of rivaroxaban.
1162,1,@dsymons @trainingwithra @lisabinkc my husband gives me my humira injections. we use the pens. it hurts too bad to give them to myself.
933,1,"@johncheese i hated effexor. it makes you hungry, dizzy, and lethargic. that culminated in a large weight gain for me."
742,1,boniva would've been better properly named as an erectile dysfunction drug.
766,0,the fluoroquinolone syndrome &lt;-have you experienced side effects from taking quinolones antibiotics (e.g. cipro) ?
330,1,i used to be on paxil but that made me more depressed and prozac made me angry
929,0,@synapsid oh god yeah effexor is a med where skipping a single dose wrecks you because it doesn't stay in your system
439,1,"@parthritis i don't know that one, but metho made me sick  everyday i took it. i had to stop. enbrel has worked wonders for me .. so far"
804,1,@furrowedfox cymbalta is especially weird i?ve had withdrawal quickly from missing a pill
388,1,"20s 8th day with #effexor still experiencing some side effects (drowsiness,sleepiness,gi effects). moderate improvement in mood #depression"
1190,1,"@burberrywife sometimes it never ends. so sorry. topomax is miserable with parasthesia, cognitive problems, kidney stones. lamictal's good"
985,1,fucking effexor withdrawals. i would shake my fist but i don't have the energy.
1421,0,"ciprofloxacin and levofloxacin use most extensively in children b/c on basis of past experience, these drugs appear to be well tolerated."
928,1,@synapsid with effexor if i miss one day i am dizzy and wrecked
298,1,rt @ocserena: @drdrewhowlong does paxil withdrawal take! extremely emotional:( switched to wellbutrin. wanna crawl in a hole.
